1	0	94	0	78	0	76	0	82	0	78	0	89	0	92	0	84	0	75	0	83	
2	1.57143	94	1.47826	78	1.63636	76	1.66667	82	1.43478	78	1.3913	89	1.4	92	1.47826	84	1.75	75	1.45833	83	
3	1.46154	94	1.81818	78	1.75	76	1.45455	82	1.81818	78	1.53846	89	1.5	92	1.46667	84	1.55556	75	1.42857	83	
4	2.2	94	2	78	2	76	1.83333	82	2	78	1.625	89	1.83333	92	2.25	84	2	75	2.25	83	
5	2	94	1	78	2	76	1	82	1	78	1.25	89	2	92	2	84	1	75	2	83	
6	3	94	3	78	2	76	1	82	3	78	1	89	2	92	1	84	1	75	2	83	
7	13	94	12	78	2	76	1	82	11	78	3	89	2	92	3	84	1	75	3	83	
8	NaN	NaN	NaN	NaN	3	76	3	82	NaN	NaN	12	89	2	92	11	84	4	75	10	83	
9	NaN	NaN	NaN	NaN	11	76	11	82	NaN	NaN	NaN	NaN	12	92	NaN	NaN	11	75	NaN	NaN	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
