1	0	84	0	82	0	83	0	84	0	86	0	98	0	96	0	89	0	81	0	83	
2	1.57692	84	1.69565	82	1.77273	83	1.83333	84	1.72	86	1.64286	98	1.66667	96	1.64	89	1.66667	81	1.625	83	
3	2	84	1.8	82	1.63636	83	2	84	1.5	86	1.64286	98	1.72727	96	1.7	89	2	81	1.90909	83	
4	2.5	84	2	82	1.75	83	1.5	84	2.5	86	2	98	1.8	96	1.6	89	1.66667	81	2.5	83	
5	2	84	1	82	3	83	3	84	3	86	3	98	2	96	1	89	2	81	3	83	
6	2	84	3	82	14	83	14	84	13	86	14	98	1	96	1	89	1	81	13	83	
7	3	84	13	82	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	96	4	89	3	81	NaN	NaN	
8	13	84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14	96	14	89	12	81	NaN	NaN	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
