0	1018598
1	2109028
2	296339
3	50732
4	15871
5	5083
6	5722
7	1108
8	680
9	746
10	191
11	133
12	126
13	42
14	30
15	25
16	21
17	20
18	13
19	2
20	3
21	3
22	92
23	6
24	5
25	4
26	1
27	1
28	3
30	1
31	1
32	2
35	2
36	1
43	13
45	27
48	1
49	1
50	1
56	1
63	1
100	1
