0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	135563	0	0	0	37700	0	0	15313	0	9612	0	5875	0	4046	2861	0	2062	1609	1262	1931	655	616	909	629	481	496	432	360	289	435	282	223	127	225	175	193	107	61	142	39	38	28	159	95	18	10	12	12	7	4	3	2	48	2	7	1	1	3	2	3	19	25	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	5155	0	0	5076	0	3181	0	2470	0	1755	1639	0	1204	898	741	1464	629	407	731	610	486	432	363	364	214	430	231	276	231	193	137	206	108	69	52	62	64	33	61	33	29	22	10	20	14	58	12	11	4	3	5	2	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	346	0	365	0	474	688	0	367	271	371	660	300	269	441	325	222	229	177	240	208	241	154	149	133	106	109	108	107	62	93	110	84	48	63	51	37	38	32	34	41	62	20	19	13	13	115	2	4	9	6	6	2	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	20	0	40	30	0	34	22	52	284	54	22	87	219	49	51	53	51	49	167	62	49	49	49	50	74	71	39	50	47	51	43	31	43	46	48	42	29	38	19	28	44	21	16	26	15	18	13	11	8	9	12	5	4	2	11	6	10	6	5	3	4	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	5	2	2	27	3	3	25	69	37	11	10	8	12	26	21	7	16	16	12	15	18	16	15	9	13	13	7	15	5	14	8	9	6	9	11	8	20	11	8	10	17	10	9	4	13	17	15	21	13	13	12	10	6	6	4	8	4	6	30	17	2	1	2	0	2	0	1	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	0	1	1	33	13	4	5	2	7	5	3	5	4	4	15	16	2	9	2	4	3	4	3	4	7	7	5	1	7	2	1	13	6	3	2	3	1	0	4	3	2	2	1	4	4	2	3	1	0	2	0	0	2	5	3	2	1	7	1	2	0	0	2	0	3	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	1	0	1	1	3	0	1	0	0	0	0	0	0	0	0	1	2	3	0	4	0	1	2	0	0	1	0	2	0	3	2	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
