#Nnodes	depth
7.27254	2
14.5451	2.17091
21.8176	2.39364
29.0902	2.72104
36.3627	3.05635
43.6352	3.17594
50.9078	3.5655
58.1803	4.24797
65.4529	4.59818
72.7254	4.94672
79.9979	5.98182
87.2705	6.2069
#94.543	6.3
#101.816	8
