0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	305821	0	0	0	79973	0	0	30108	0	16554	0	9219	0	7216	4253	0	3661	2388	2422	3329	1061	831	1204	911	858	663	416	539	342	413	288	285	188	170	119	142	108	166	103	56	52	105	29	25	65	76	20	25	18	22	16	5	4	7	1	3	2	1	6	1	1	1	1	3	0	1	10	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	7408	0	0	6913	0	5216	0	3708	0	2697	2129	0	1808	1056	954	1761	656	473	930	626	573	487	504	471	164	345	300	246	239	170	152	138	150	86	119	71	83	39	55	24	51	27	29	36	20	9	8	5	2	4	5	2	2	6	4	1	2	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	562	0	769	0	511	597	0	438	407	422	662	339	263	450	421	273	276	167	222	174	281	153	151	114	89	140	151	95	64	82	99	71	34	47	28	28	39	26	17	13	11	11	17	12	7	8	3	3	9	6	9	11	5	7	5	13	1	2	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	60	0	70	221	0	179	72	103	196	135	81	132	161	100	108	82	123	97	80	47	145	97	33	58	58	96	26	62	28	20	43	28	35	26	20	9	12	16	15	18	29	21	7	6	6	4	3	3	3	1	0	4	1	3	1	4	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	5	38	0	4	24	32	12	12	8	27	20	35	30	66	15	13	41	20	19	43	57	50	58	36	14	15	20	23	27	9	21	17	13	7	18	6	11	9	4	19	17	13	37	14	17	11	5	6	14	4	4	6	9	1	1	0	1	1	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	1	8	13	10	4	2	4	3	9	4	10	26	3	10	22	7	18	12	9	11	14	10	8	7	4	8	14	11	13	12	9	21	9	8	11	9	9	19	13	20	24	9	7	13	6	21	5	4	0	3	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	1	0	9	12	21	3	0	5	1	0	10	0	4	2	0	7	2	2	4	5	6	21	9	17	2	15	3	9	6	7	1	3	6	9	5	19	13	6	12	5	2	3	1	0	2	4	0	0	0	2	2	1	0	2	2	0	0	1	4	1	0	1	0	1	3	0	0	0	0	1	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	2	0	20	0	1	0	7	1	3	12	0	0	1	0	0	2	0	0	4	3	2	0	2	2	3	3	1	2	3	1	9	2	0	3	29	8	4	1	2	2	2	5	1	1	0	2	1	1	4	5	3	1	1	0	0	0	0	0	2	2	4	3	0	1	2	0	0	0	2	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	14	62	4	2	2	1	3	3	2	0	4	0	0	1	0	0	0	2	3	1	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	10	1	5	5	0	0	2	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
