2	135563
3	42855
4	20705
5	13154
6	8734
7	6315
8	5227
9	3672
10	2802
11	2429
12	2416
13	1953
14	1643
15	1318
16	1229
17	966
18	994
19	859
20	729
21	580
22	663
23	572
24	570
25	470
26	350
27	322
28	359
29	444
30	330
31	351
32	333
33	341
34	282
35	253
36	292
37	211
38	163
39	193
40	184
41	168
42	129
43	160
44	159
45	114
46	105
47	239
48	123
49	127
50	72
51	124
52	81
53	87
54	123
55	113
56	68
57	68
58	117
59	161
60	85
61	70
62	60
63	68
64	82
65	75
66	72
67	63
68	32
69	49
70	32
71	42
72	33
73	33
74	46
75	58
76	34
77	32
78	87
79	44
80	29
81	39
82	53
83	30
84	36
85	39
86	34
87	25
88	23
89	27
90	38
91	26
92	31
93	23
94	32
95	24
96	20
97	33
98	17
99	16
100	10
101	13
102	20
103	40
104	26
105	14
106	13
107	28
108	21
109	47
110	35
111	61
112	22
113	15
114	38
115	18
116	13
117	28
118	11
119	79
120	22
121	20
122	14
123	23
124	14
125	9
126	15
127	17
128	11
129	9
130	8
131	14
132	13
133	13
134	15
135	6
136	10
137	8
138	6
139	17
140	10
141	11
142	9
143	9
144	9
145	9
146	12
147	10
148	17
149	12
150	5
151	9
152	4
153	14
154	7
155	12
156	11
157	10
158	6
159	7
160	5
161	9
162	5
163	4
164	10
165	9
166	9
167	5
168	5
169	13
170	9
171	5
172	4
173	5
174	5
175	4
176	5
177	7
178	6
179	7
180	14
181	8
182	4
183	7
185	6
186	7
187	7
188	10
189	3
190	4
191	6
192	7
193	4
194	9
195	8
196	6
197	4
198	6
199	6
200	2
201	11
202	3
203	8
204	7
205	7
206	2
207	8
208	6
209	17
210	8
211	7
212	6
213	2
214	12
215	4
216	7
217	21
218	9
220	5
221	1
222	6
223	11
224	11
225	9
226	5
227	1
228	11
229	6
230	4
231	2
232	6
233	3
234	1
235	5
236	3
237	1
238	5
239	2
240	6
241	3
242	6
243	3
245	4
246	3
247	4
248	4
249	2
250	3
251	3
252	3
253	3
254	2
255	1
257	2
258	2
259	4
260	5
261	2
262	5
263	3
264	14
265	4
266	1
267	4
268	3
269	6
270	1
271	1
272	4
273	3
274	5
275	6
276	3
277	4
278	1
279	4
280	2
281	5
282	1
283	2
284	3
285	4
286	2
287	5
288	1
289	2
290	3
291	7
292	4
293	2
294	3
295	2
296	18
297	3
298	3
299	2
300	1
301	24
302	2
303	7
304	5
305	6
306	2
310	4
313	5
314	2
316	1
317	1
318	2
319	1
320	2
321	1
322	3
323	1
324	1
325	2
326	2
327	3
328	3
330	5
331	1
332	1
333	1
334	1
335	1
336	2
338	3
340	7
341	1
342	1
343	7
344	4
345	10
346	4
347	1
348	7
349	3
350	2
351	21
352	2
353	4
354	48
355	2
356	2
357	4
358	2
359	8
360	4
361	2
362	3
364	4
365	5
366	1
367	1
368	2
369	1
370	1
371	1
373	2
374	1
375	4
376	1
378	1
379	1
380	2
382	2
384	1
385	1
388	2
390	2
396	1
398	1
400	2
401	2
403	2
404	2
407	2
408	2
409	2
410	2
411	1
412	1
413	1
414	3
415	1
418	1
419	1
420	2
422	1
423	1
425	1
426	1
427	2
428	1
430	1
431	2
432	3
434	1
435	2
436	2
438	3
439	2
440	1
442	3
446	1
447	1
449	1
453	1
455	1
456	1
460	1
461	1
462	1
463	3
464	1
466	1
467	1
468	1
471	3
473	1
474	1
475	1
476	1
477	1
478	1
479	3
480	1
481	3
482	2
483	2
485	1
487	1
490	1
491	1
494	1
497	1
498	1
500	3
505	1
506	1
508	1
510	1
512	3
514	1
515	1
517	1
519	1
524	1
525	1
526	1
530	2
531	1
533	1
535	2
539	1
540	1
541	2
543	1
544	1
550	1
553	1
554	1
555	1
556	1
562	1
563	1
567	1
571	1
574	1
576	2
583	2
584	2
585	1
589	1
591	1
592	1
593	1
594	1
596	1
597	1
598	1
599	1
600	1
601	3
603	1
607	1
608	1
609	2
610	2
611	1
612	1
617	1
