#Nnodes	depth
7.27254	2
14.5451	2.12562
21.8176	2.37699
29.0902	2.66092
36.3627	3.02131
43.6352	3.43655
50.9078	3.71258
58.1803	4.21376
65.4529	6.7907
72.7254	6.40239
79.9979	6.98592
87.2705	7.84211
#94.543	8.33333
#101.816	8.57143
