1	0	228	0	268	0	229	0	243	0	264	0	231	0	222	0	245	0	233	0	247	
2	1.35294	228	1.4386	268	1.40816	229	1.26316	243	1.33962	264	1.2963	231	1.36364	222	1.43103	245	1.42857	233	1.46296	247	
3	1.27778	228	1.18605	268	1.35294	229	1.325	243	1.25	264	1.48485	231	1.5625	222	1.36111	245	1.29412	233	1.44444	247	
4	1.32	228	1.37931	268	1.31818	229	1.36667	243	1.34483	264	1.29167	231	1.26087	222	1.30769	245	1.19231	233	1.19231	247	
5	1.35294	228	1.30435	268	1.15789	229	1.47059	243	1.28571	264	1.15	231	1.69231	222	1.21053	245	1.33333	233	1.35	247	
6	1.5	228	1.71429	268	1.41667	229	1.55556	243	1.25	264	1.5	231	1.55556	222	1.81818	245	1.53846	233	1.54545	247	
7	1.71429	228	1.5	268	1.55556	229	1.83333	243	1.33333	264	2.16667	231	1.33333	222	1.8	245	1.28571	233	1.8	247	
8	1	228	1.33333	268	1.6	229	1.33333	243	1.375	264	1	231	2	222	1.5	245	2	233	1.33333	247	
9	2	228	1	268	1	229	1	243	1.75	264	1	231	1	222	2	245	1	233	2	247	
10	1	228	1	268	1	229	2	243	1	264	2	231	1	222	2	245	1	233	1	247	
11	2	228	2	268	1	229	2	243	2	264	2	231	2	222	4	245	1	233	1	247	
12	2	228	5	268	2	229	4	243	4	264	4	231	2	222	14	245	1	233	1	247	
13	4	228	14	268	4	229	12	243	13	264	12	231	5	222	NaN	NaN	1	233	2	247	
14	13	228	NaN	NaN	13	229	NaN	NaN	NaN	NaN	NaN	NaN	13	222	NaN	NaN	2	233	4	247	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	233	13	247	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	233	NaN	NaN	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
