1	1000	1000	1000	1000	1000	1000	1000	1000	
2	498.924	485.909	471.883	456.676	439.987	421.412	400.299	375.445	
3	249.015	236.206	222.776	208.668	193.713	177.726	160.399	141.141	
4	124.374	114.922	105.275	95.4618	85.4111	75.0914	64.4307	53.2427	
5	62.2104	56.0132	49.8518	43.7876	37.7843	31.8653	26.0413	20.2683	
6	31.2073	27.401	23.7104	20.2016	16.8415	13.6616	10.6869	7.90078	
7	15.7461	13.5057	11.3821	9.43856	7.63552	5.99973	4.55153	3.26932	
8	8.03816	6.76081	5.572	4.53266	3.59627	2.78521	2.11555	1.5571	
9	4.2004	3.49381	2.84254	2.30953	1.84228	1.46357	1.19353	1	
10	2.30023	1.92708	1.58063	1.33444	1.1295	1.00002	1	1	
11	1.38363	1.21387	1.05005	1	1	1	1	1	
12	1.00438	1	1	1	1	1	1	1	
13	1	1	1	1	1	1	1	1	
14	1	1	1	1	1	1	1	1	
15	1	1	1	1	1	1	1	1	
16	1	1	1	1	1	1	1	1	
17	1	1	1	1	1	1	1	1	
18	1	1	1	1	1	1	1	1	
19	1.00001	1	1	1	1	1	1	1	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
