1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	
2	261.12	361.801	414.536	443.532	460.986	468.876	471.973	473.034	473.316	473.336	473.336	473.336	473.336	473.336	473.336	473.336	473.336	473.336	
3	1	94.4345	147.494	182.841	206.399	217.634	222.146	223.705	224.12	224.149	224.149	224.149	224.149	224.149	224.149	224.149	224.149	224.149	
4	NaN	1	36.9976	64.2625	86.8277	98.8751	103.951	105.737	106.215	106.249	106.249	106.249	106.249	106.249	106.249	106.249	106.249	106.249	
5	NaN	NaN	1	15.6513	31.9089	42.9152	48.0462	49.9214	50.43	50.466	50.466	50.466	50.466	50.466	50.466	50.466	50.466	50.466	
6	NaN	NaN	NaN	1	8.64039	16.8831	21.6326	23.5131	24.0365	24.0738	24.0738	24.0738	24.0738	24.0738	24.0738	24.0738	24.0738	24.0738	
7	NaN	NaN	NaN	NaN	1	5.34582	9.21016	11.019	11.5506	11.5889	11.5889	11.5889	11.5889	11.5889	11.5889	11.5889	11.5889	11.5889	
8	NaN	NaN	NaN	NaN	NaN	1	3.47467	5.10892	5.64692	5.68674	5.68671	5.68675	5.68672	5.6867	5.68669	5.68669	5.68669	5.68669	
9	NaN	NaN	NaN	NaN	NaN	NaN	1	2.3156	2.86241	2.90512	2.90508	2.90513	2.90509	2.90507	2.90507	2.90507	2.90507	2.90507	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1.56483	1.61409	1.61405	1.61411	1.61406	1.61404	1.61403	1.61403	1.61403	1.61403	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1.06628	1.06623	1.0663	1.06623	1.06621	1.06621	1.06621	1.0662	1.0662	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1.00001	1	1	1	1	1	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1	1	1	
14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1	1	
15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1	
16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	
